name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,184500,89200,184500,3200,2015-11-07 01:19:20+00:00,2026-08-20 10:00:00+00:00,Apache License 2.0
transformers,huggingface,Python,131200,25100,131200,950,2018-10-29 13:56:00+00:00,2026-08-21 15:30:00+00:00,Apache License 2.0
pytorch,pytorch,Python,83400,22100,83400,14200,2016-08-13 05:26:41+00:00,2026-08-21 18:00:00+00:00,BSD 3-Clause
keras,keras-team,Python,61200,19400,61200,320,2015-03-28 00:35:42+00:00,2026-08-19 12:00:00+00:00,Apache License 2.0
scikit-learn,scikit-learn,Python,59100,25300,59100,2400,2010-08-17 09:43:38+00:00,2026-08-20 11:00:00+00:00,BSD 3-Clause
ML-For-Beginners,microsoft,Jupyter Notebook,72500,13800,72500,110,2021-04-16 14:41:40+00:00,2026-08-18 16:00:00+00:00,MIT License
awesome-machine-learning,josephmisiti,Python,64300,14700,64300,45,2014-07-15 19:11:19+00:00,2026-08-15 09:00:00+00:00,Creative Commons Attribution 4.0
face_recognition,ageitgey,Python,53200,13600,53200,820,2017-03-03 21:52:39+00:00,2026-08-14 08:00:00+00:00,MIT License
fastai,fastai,Python,26400,7800,26400,180,2017-09-08 06:48:47+00:00,2026-08-12 14:00:00+00:00,Apache License 2.0
spaCy,explosion,Python,29800,4400,29800,195,2014-08-25 11:42:33+00:00,2026-08-19 10:00:00+00:00,MIT License
whisper,openai,Python,68900,8100,68900,1400,2022-09-19 20:12:43+00:00,2026-08-21 19:00:00+00:00,MIT License
stable-diffusion-webui,AUTOMATIC1111,Python,141000,26800,141000,2100,2022-08-22 14:05:26+00:00,2026-08-21 21:00:00+00:00,GNU General Public License v3.0
caffe,BVLC,C++,33900,19200,33900,350,2013-09-04 07:18:27+00:00,2026-07-30 10:00:00+00:00,BSD 2-Clause
yolov5,ultralytics,Python,48500,16200,48500,890,2020-05-18 10:39:03+00:00,2026-08-20 17:00:00+00:00,GNU General Public License v3.0
Deep-Learning-Papers-Reading-Roadmap,floodsung,Unknown,36100,7400,36100,85,2016-09-06 08:12:15+00:00,2026-08-11 12:00:00+00:00,Unknown
Machine-Learning-Tutorials,ujjwalkarn,Python,15400,4300,15400,12,2016-02-12 15:20:10+00:00,2026-08-01 14:00:00+00:00,MIT License
hands-on-ml,ageron,Jupyter Notebook,33100,14900,33100,120,2016-07-28 09:12:00+00:00,2026-08-16 18:00:00+00:00,Apache License 2.0
MachineLearning,flairNLP,Python,13900,2100,13900,310,2018-05-10 12:30:00+00:00,2026-08-10 10:00:00+00:00,MIT License
xgboost,dmlc,C++,26100,8900,26100,420,2014-02-06 22:22:13+00:00,2026-08-19 09:00:00+00:00,Apache License 2.0
LightGBM,microsoft,C++,16800,4100,16800,310,2016-08-09 06:17:15+00:00,2026-08-17 11:00:00+00:00,MIT License
TensorFlow-Examples,aymericdamien,Jupyter Notebook,45100,16400,45100,140,2015-11-10 17:41:20+00:00,2026-08-05 08:00:00+00:00,MIT License
models,tensorflow,Python,76800,47200,76800,1100,2016-02-05 01:15:20+00:00,2026-08-19 13:00:00+00:00,Apache License 2.0
onnx,onnx,C++,18200,3700,18200,610,2017-09-06 19:35:12+00:00,2026-08-20 14:00:00+00:00,Apache License 2.0
ray,ray-project,Python,34100,5500,34100,3100,2016-12-28 04:30:10+00:00,2026-08-21 11:00:00+00:00,Apache License 2.0
mlflow,mlflow,Python,18900,4200,18900,720,2018-06-05 17:28:40+00:00,2026-08-21 09:00:00+00:00,Apache License 2.0
timm,huggingface,Python,31200,3600,31200,180,2019-06-17 21:40:15+00:00,2026-08-18 12:00:00+00:00,Apache License 2.0
langchain,langchain-ai,Python,94500,15400,94500,2900,2022-10-17 02:58:36+00:00,2026-08-21 22:00:00+00:00,MIT License
llama.cpp,ggerganov,C++,67300,9600,67300,710,2023-03-10 19:30:15+00:00,2026-08-21 23:00:00+00:00,MIT License
vllm,vllm-project,Python,32400,4900,32400,1200,2023-06-19 21:10:05+00:00,2026-08-21 20:00:00+00:00,Apache License 2.0
ollama,ollama,Go,95100,8200,95100,1600,2023-06-27 18:40:22+00:00,2026-08-21 22:30:00+00:00,MIT License
